comment,date,dblp,deadline,description,link,name,note,place,tags,timezone,year
Rolling deadline every quarter,TBD,,%Y-05-31 23:59 | %Y-08-31 23:59 | %Y-11-30 23:59 | %y-02-28 23:59,Privacy Enhancing Technologies Symposium,https://www.petsymposium.org/cfp26.php,PETS,,TBD,PRIV | CONF | CORE-A,,2027
Abstract registration required (1 week before deadline AoE).,August 23-26,,2026-02-19 23:59,Symposium on Usable Privacy and Security,https://soups.page/,SOUPS,,"Hannover, Germany",SEC | PRIV | CONF | CORE-A,,2026
Paper registration due May 5th AoE,September 10-September 11,,2025-05-09 23:59,European Symposium on Usable Security,https://eurousec2025.cis.strath.ac.uk/,EuroUSEC,,"Manchester, UK",SEC | PRIV | CONF,,2025
,June 24-25,,2026-02-13 23:59,The Annual Symposium on Applications of Contextual Integrity,https://privaci.info/symposium/2026/cfp.html,PrivaCI,,"Urbana-Champaign, USA",PRIV | CONF,,2026
Co-located with SAC 2026.,August 26-28,https://dblp.org/db/conf/pst/index.html,2026-04-28 23:59,"Annual International Conference on Privacy, Security, and Trust",https://pstnet.ca/pst2026,PST,,"Ottawa, Canada",SEC | PRIV | CONF,,2026
,September 9-10,,2026-04-15 23:59,Annual Privacy Forum,https://privacyforum.eu/callforpapers.html,APF,,"Salzburg, Austria",SEC | PRIV | CONF,,2026
,August 17-20,,2026-02-12 23:59,International Cryptology Conference,https://crypto.iacr.org/2026/,Crypto,,"Santa Barbara, CA, USA",CRYPTO | CONF | ASTAR,Etc/GMT+8,2026
,May 10-14,,2025-10-02 23:59,European Cryptology Conference,https://eurocrypt.iacr.org/2026/,Eurocrypt,,"Rome, Italy",CRYPTO | CONF | ASTAR,,2026
,November 7-9,,2025-04-15 23:59 | 2025-06-15 23:59,International Conference on Information Security and Cryptology,https://inscrypt2026.comp.polyu.edu.hk/,Inscrypt,,"Hong Kong SAR, China",SEC | PRIV | CRYPTO | CONF,,2026
,August 26-28,,2026-02-02 23:59 | 2026-05-11 23:59,Selected Areas in Cryptography,https://sacworkshop.org/SAC26/,SAC,,"Ottawa, ON, Canada",CRYPTO | CONF | CORE-B,,2026
,December 8-12,,2025-05-16 12:00,International Conference on the Theory and Application of Cryptology and Information Security,https://asiacrypt.iacr.org/2025/,Asiacrypt,,"Melbourne, Australia",CRYPTO | CONF | CORE-A,Etc/GMT,2025
,March 2–6,,2025-09-20 23:59,Financial Cryptography and Data Security,https://fc26.ifca.ai,FC,,St. Kitts,SEC | CRYPTO | CONF | CORE-A,,2026
Abstract registration required (1 week before deadline AoE).,October 6–9,,2026-05-27 23:59,ACM Conference on Advances in Financial Technologies,https://aft.ifca.ai/aft26/CFP.html,AFT,,"London, UK",SEC | PRIV | CRYPTO | CONF | CORE-B,,2026
,November 10-13,,2026-05-19 23:59,Theory of Cryptography Conference,https://tcc.iacr.org/2026/,TCC,,"New York City, USA",CRYPTO | CONF | CORE-B,,2026
,May 25-28,,2025-10-24 09:59,International Conference on Practice and Theory of Public Key Cryptography,https://pkc.iacr.org/2026/,PKC,,"West Palm Beach, FL, USA",CRYPTO | CONF | CORE-B,,2026
,March 23-26,,2025-10-24 23:59,RSA Conference Cryptographers’ Track,https://conference.wsu.edu/ct-rsa-2026/,CT-RSA,,"San Francisco, CA, USA",CRYPTO | CONF | CORE-B,,2026
,July 16-18,,2026-03-03 23:59 | 2026-04-16 23:59,International Conference on Security and Cryptography,https://secrypt.scitevents.org,SECRYPT,,"Porto, Portugal",SEC | CRYPTO | CONF,,2026
,July 08-10,,2026-03-01 23:59,International Conference on Cryptography Africa,https://www.africacrypt2026.tn/,AfricaCrypt,,"Hammamet, Tunisia",CRYPTO | CONF,,2026
Extended submission deadline May 16th 23:59 AoE,October 1-3,,2025-05-16 23:59,International Conference on Cryptology and Information Security in Latin America,https://ciencias.medellin.unal.edu.co/eventos/latincrypt/,LATINCRYPT,,"Medellin, Colombia",CRYPTO | CONF,,2025
Rolling deadline every quarter,TBD,,%Y-03-01 23:59 | %Y-06-01 23:59 | %Y-09-01 23:59 | %Y-11-23 23:59,IACR Transactions on Symmetric Cryptology,https://tosc.iacr.org/,FSE,,TBD,CRYPTO | CONF | CORE-B | JRN,,2027
Rolling deadline every quarter,October 11-15,,%Y-07-15 23:59 | %Y-10-15 23:59 | %y-01-15 23:59 | %y-04-15 23:59,IACR Transactions on Cryptographic Hardware and Embedded Systems,https://ches.iacr.org/2026/,CHES,,"Antalya, Türkiye",CRYPTO | CONF | JRN | CORE-A,,2026
,December 15-16,,2026-07-31 23:59,IMA International Conference on Cryptography and Coding,https://ima.org.uk/28271/20th-ima-international-conference-on-cryptography-and-coding/,C&C,,"Cirencester, UK",CRYPTO | CONF,,2026
,October 11-14,,2026-04-16 23:59,"International Symposium on Research in Attacks, Intrusions and Defenses",https://raid2026.org,RAID,,"Lancaster, UK",SEC | CONF | CORE-A,,2026
,March 23-27,,2025-10-17 23:59,ACM/SIGAPP Symposium On Applied Computing,https://www.sigapp.org/sac/sac2026/,SAC,,"Thessaloniki, Greece",SEC | CONF,,2026
,Dec 7-11,,2026-05-26 23:59,Annual Computer Security Applications Conference,https://www.acsac.org/2026/submissions/papers/,ACSAC,,"Los Angeles, CA, USA",SEC | CONF | CORE-A,,2026
Abstract registration required (1 week before deadline AoE).,June 22-25,,2025-12-04 23:59,The International Conference on Dependable Systems and Networks,https://dsn2026.github.io/,DSN,,"Charlotte, NC, USA",SEC | CONF | CORE-A,,2026
,June 22-25,,2025-09-25 23:59 | 2026-01-23 23:59,International Conference on Applied Cryptography and Network Security,https://acns2026.github.io/,ACNS,,"New York, NY",CRYPTO | SEC | CONF | CORE-B,,2026
,July 01-03,,2025-12-03 23:59 | 2026-02-11 23:59,The Conference on Detection of Intrusions and Malware & Vulnerability Assessment,https://www.dimva.org/dimva2026/,DIMVA,,"Chania, Greece",SEC | CONF | CORE-B,,2026
,July 8-10,,2025-10-27 23:59 | 2026-03-06 23:59,ACM Symposium on Access Control Models and Technologies,https://www.sacmat.org/2026/,SACMAT,,"Waterloo, Canada",CRYPTO | SEC | CONF | PRIV,,2026
,August 24–27,,2026-03-09 23:59,"International Conference on Availability, Reliability and Security",https://www.ares-conference.eu/,ARES,"Abstract registration deadline March 2, 2026.","Linköping, Sweden",SEC | PRIV | CONF | CORE-B,,2026
Abstract registration required (1 week before deadline AoE).,June 23-25,,2026-01-02 23:59,ACM Conference on Data and Application Security and Privacy,http://www.codaspy.org/2026/,CODASPY,,"Frankfurt am Main, Germany",CRYPTO | SEC | CONF | PRIV,,2026
,July 28-30,,2025-03-27 23:59,Conference on Data and Applications Security and Privacy,https://dbsec2026.gmu.edu/,DBSec,,"Arlington, Virginia, USA",CRYPTO | SEC | CONF | PRIV | CORE-B,,2026
Abstract deadline September 30 AoE.,April 13-17,,2025-10-07 23:59,International Conference on the World Wide Web,https://www2026.thewebconf.org,The Web Conference,,"Dubai, United Arab Emirates",SEC | CONF | PRIV | ASTAR,,2026
,November 15-18,,2026-06-10 23:59,ACM SIGOPS Annual Technical Conference,https://sigops.org/s/conferences/atc/2026/index.html,ATC,,"Shatin, Hong Kong",SEC | CONF | PRIV | CORE-A,,2026
,November 2-6,,2026-05-30 23:59,The Symposium on Electronic Crime Research,https://apwg.org/events/ecrime2026,eCrime,,"Lisbon, Portugal",SEC | PRIV | CONF,,2026
Abstract registration required (1 week before deadline AoE).,March 23-25,,2025-10-08 23:59,Passive and Active Measurement Conference,https://pam2026.at/,PAM,,Virtual,SEC | PRIV | CONF | CORE-B,,2026
Co-located with USENIX Security 2026,August 10-11,,2026-02-24 23:59,USENIX Symposium on Vehicle Security and Privacy,https://www.usenix.org/conference/vehiclesec26,VehicleSec,,"Baltimore, USA",SEC | PRIV | CONF,,2026
,October 24-26,,2024-08-04 23:59,International Symposium on Network Computing and Applications,https://www.nca-ieee.org/2024/index.html,NCA,,"Bertinoro, Italy",SEC | CONF | CORE-B,,2024
,October 22-24,,2025-07-15 23:59,International Conference on Risks and Security of Internet and Systems,https://crisis2025.uqo.ca,CRISIS,,"Gatineau, Canada",SEC | PRIV | CONF,,2025
,October 10-12,,2025-05-31 23:59,International Conference on Provable and Practical Security,https://sulab-sever.u-aizu.ac.jp/provsec2025/index.html,ProvSec,,"Yokohama, Japan",SEC | PRIV | CONF,,2025
Abstract registration required (1 week before deadline AoE).,November 3-6,,2025-11-20 23:59 | 2026-04-29 23:59,ACM Internet Measurement Conference,https://conferences.sigcomm.org/imc/2026/,IMC,,"Karlsruhe, Germany",SEC | PRIV | CONF | CORE-A,,2026
Abstract registration required (1 week before deadline AoE).,May 4-7,,2025-08-26 23:59 | 2025-12-08 23:59,IEEE International Symposium on Hardware Oriented Security and Trust,http://www.hostsymposium.org/,HOST,,"Washington DC, USA",SEC | CONF,,2026
,December 11-13,,2026-07-14 23:59,Asian Hardware Oriented Security and Trust Symposium,https://www.asianhost.org/2026/,AsianHOST,,"Kharagpur, India",SEC | CONF,Asia/Shanghai,2026
,March 30 - April 1,,2025-06-27 23:59 | 2025-12-05 23:59,Constructive Approaches for Security Analysis and Design of Embedded Systems,https://cascade-conference.org/index.html,CASCADE,,"Regensburg, Germany",CRYPTO | CONF,,2026
Abstract registration required (1 week before deadline AoE).,April 25 - May 1,,2026-06-30 23:59,IEEE/ACM International Conference on Software Engineering,https://conf.researchr.org/home/icse-2027,ICSE,,"Dublin, Ireland",SEC | CONF | ASTAR,,2027
,October 12 - 16,,2026-03-26 23:59,IEEE/ACM Automated Software Engineering,https://conf.researchr.org/home/ase-2026,ASE,,"Munich, Germany",SEC | CONF | ASTAR,,2026
,July 12 - 16,,2026-10-09 23:59,ACM International Conference on the Foundations of Software Engineering,https://conf.researchr.org/home/fse-2026,ESEC/FSE,,"Shenzhen, China",SEC | CONF | ASTAR,,2027
,October 3 - 9,,2026-01-29 23:59,ACM SIGSOFT International Symposium on Software Testing and Analysis,https://conf.researchr.org/home/issta-2026,ISSTA,,"Oakland, CA, USA",SEC | CONF,,2026
,November 4 - 6,,2025-04-16 23:59 | 2025-06-30 23:59,ESA Security for Space Systems Conference,https://security4space.esa.int/2025/cfp/,Security for Space Systems (3S),,"ESTEC, Noordwijk, Netherlands",SEC | CONF,,2025
,December 13-15,,2026-09-15 23:59,Security Standardisation Research Conference,https://ssresearch26.umbc.edu/,SSR,,"Baltimore, MD, USA",SEC | CONF | CRYPTO,,2026
,January 29-30,,2023-11-05 23:59,IEEE International Symposium on Secure and Private Execution Environment Design,https://seed-symposium.org/2024/,SEED,,"Orlando, FL",SEC | PRIV | CONF,,2024
,Nov 20-22,,2024-07-01 23:59,International Conference on Network and System Security and International Symposium on Security and Privacy in Social Networks and Big Data,http://nsclab.org/nss-socialsec2024/index.html,NSS-SocialSec,,"Abu Dhabi, UAE",SEC | PRIV | CRYPTO | CONF,,2024
,September 15–16,,2025-04-20 23:59,International Conference on IT Security Incident Management and IT Forensics,https://www.imf-conference.org/cfp.html,IMF,,"Bonn, Germany",SEC | CONF,Etc/UTC,2026
,May 29-31,,2026-03-31 23:59,International Conference on Science of Cyber Security,https://scisec.org/,SciSec,,"Beijing, China",SEC | CONF,,2026
,"Sep 2-3, 2026",,2026-04-13 23:59,International Conference on Design of Cyber-Secure Critical Infrastructure,https://dcs-ci.github.io,DCS-CI,,"Buford, Georgia, USA",SEC | CONF,,2026
Abstract registration required (May 20 AoE).,September 2-3,,2026-05-25 23:59,Conference on Sociotechnical Cybersecurity and Privacy,https://scpconf.eu/,SCP,,"Belval, Luxembourg",SEC | PRIV | CONF,,2026
,July 6-9,,2025-11-27 23:59 | 2026-02-26 23:59,Australasian Conference on Information Security and Privacy,https://acisp.org/,ACISP,,"Perth, Australia",SEC | PRIV | CONF,,2026
,February 3-8,,2024-12-09 23:59,Italian Conference on Cybersecurity,https://itasec.it/,ITASEC,,"Bologna, IT",SEC | CONF,,2025
,September 15-18,,2026-04-15 23:59,Intelligent Cybersecurity Conference,https://icsc-conference.org/2026/,ICSC,,"Abu Dhabi, UAE",SEC | CONF,,2026
,October 27-30,,2026-02-28 23:59 | 2026-05-23 23:59,International Conference on Information and Communications Security,https://sulab-sever.u-aizu.ac.jp/icics2026/index.html,ICICS,,"Fukui, Japan",SEC | PRIV | CONF,Asia/Tokyo,2026
,March 23-25,,2025-09-24 23:59,IEEE Conference on Secure and Trustworthy Machine Learning,https://satml.org/,SaTML,,"Munich, Germany",SEC | PRIV | CONF,,2026
,November 12-13,,2025-08-17 23:59,Nordic Conference on Secure IT Systems,https://nordsec2025.cs.ut.ee/,NordSec,,"Tartu, Estonia",SEC | PRIV | CONF,,2025
,July 5-6,,2026-02-05 23:59,Secure Development Conference,https://conf.researchr.org/home/secdev-2026,SecDev,,"Montreal, Canada",SEC | PRIV | CONF,,2026
Co-located with IEEE ICHI 2026.,June 1,,2026-03-16 23:59,Workshop on Trustworthy AI for IoMT (Internet of Medical Things),https://trustai2026.web.illinois.edu/,TRUST-AI,,"Minneapolis, MN, USA",SEC | PRIV | SHOP,,2026
In conjunction with ACNS 2026,June 25,,2026-03-14 23:59,ACNS Workshop on Artificial Intelligence in Hardware Security,http://aihws2026.aisylab.com/,AIHWS,,"Stony Brook, New York, USA",SEC | SHOP,,2026
In conjunction with ACNS 2026,June 22,,2026-01-30 23:59 | 2026-03-13 23:59,International Workshop on Artificial Intelligence and IoT Security,https://aiots26.github.io/main/,AIoTS,,"Stony Brook, NY, USA",SEC | SHOP,,2026
In conjunction with ACNS,June 22-25,,2026-01-30 23:59 | 2026-03-22 23:59,International Workshop on Critical Infrastructure and Maritime Systems Security,https://cimss2026.github.io/,CIMSS,,"Stony Brook University, NY, USA",SEC | SHOP,,2026
In conjunction with ACNS 2026,June 2026,,2026-03-20 23:59,ACNS Workshop on Intelligent and Secure Computing,https://acns-isc.github.io/2026/index.html,ACNS-ISC,,"Stony Brook University, NY, USA",SEC | SHOP,,2026
In conjunction with ACNS 2025,June 24,,2025-03-15 23:59,ACNS Workshop on Secure Cryptographic Implementation,https://acns-sci.github.io/,SCI,,"Munich, Germany",CRYPTO | SHOP,,2025
In conjunction with ACNS,June 22-25,,2026-03-20 23:59,International Workshop on Security in Machine Learning and its Applications,https://simlaacns.github.io/,SiMLA,,"Stony Brook University, NY, USA",SEC | SHOP,,2026
In conjunction with ACM CCS 2025,October 17,,2025-06-20 23:59,The Joint Workshop on CPS & IoT Security and Privacy,https://cpsiotsec2025.github.io/,CPSIoTSec,,"Taipei, Taiwan",SEC | PRIV | SHOP,,2025
Co-located with ACM CCS 2025,"October 17, 2025",,2025-07-03 23:59,Workshop on Artificial Intelligence and Security,https://aisec.cc,AISec,,"Taipei, Taiwan",SEC | PRIV | SHOP,,2025
In conjunction with ACM eEnergy 2026,June 22,,2026-04-05 23:59,ACM SIGEnergy Workshop on Cybersecurity and Privacy of Energy Systems,https://energysp.github.io/,EnergySP,,"Banff, Canada",SEC | SHOP | PRIV,,2026
Co-located with IEEE Euro S&P,June 30,,2025-02-20 23:59,Workshop on Rethinking Malware Analysis,https://worma.gitlab.io/2025/,WoRMA,,"Venice, Italy",SEC | SHOP,,2025
Co-located with EuroSys 2026,April 27,,2026-02-07 23:59,Workshop on System Software for Trusted Execution,https://systex-workshop.github.io/2026/,SysTEX,,"Edinburgh, Scotland",SEC | PRIV | SHOP,,2026
In conjunction with ACSAC,December 10,,2024-09-12 23:59,Industrial Control System Security Workshop,https://www.acsac.org/2024/workshops/icss/,ICSS,,"Waikiki, Hawaii, USA",SEC | SHOP,,2024
In conjunction with ACSAC,December 9,,2024-10-06 23:59,Workshop Encouraging Building Better Blockchain Security,https://www.acsac.org/2024/workshops/web3sec/,WEB3SEC,,"Waikiki, Hawaii, USA",SEC | SHOP,,2024
In conjunction with CCS,October 17,,2025-07-03 23:59,Workshop on Recent Advances in Resilient and Trustworthy MAchine learning-driveN system,https://artman-workshop.gitlab.io/,ARTMAN,,"Taipei, Taiwan",SEC | SHOP,,2025
In conjunction with ACM CCS,October 13,,2025-07-07 23:59,Workshop on Privacy in the Electronic Society,http://jianying.space/WPES2025/,WPES,,"Taipei, Taiwan",PRIV | SHOP,,2025
,September 27 - 30,,2026-04-30 23:59,New Security Paradigms Workshop,https://www.nspw.org/2026/cfp,NSPW,,"Victoria, Canada",SEC | PRIV | SHOP,,2026
,September 14 - 17,,2025-05-11 23:59,IEEE Conference on Communications and Network Security,https://cns2026.ieee-cns.org/,CNS,,"Newark, DE, USA",SEC | PRIV | CONF,,2026
Co-located with MICRO 2025,October 18,,2025-07-27 23:59,Hardware and Architectural Support for Security and Privacy,https://haspworkshop.org/2025/index.html,HASP,,"Seoul, Korea",SEC | PRIV | SHOP,,2025
Collocated with FM,September 9,,2024-07-05 23:59,Program Analysis and Verification on Trusted Platforms,https://pavetrust.github.io/,PAVeTrust,,"Milan, Italy",SEC | PRIV | SHOP,,2024
Co-located with NDSS Symposium,February 23,,2025-11-16 23:59,Workshop on the Security of Space and Satellite Systems,https://spacesec.info/,SpaceSec,,"San Diego, California, USA",SEC | PRIV | CRYPTO | SHOP,,2026
Co-located with NDSS Symposium,February 27,,2025-12-11 23:59,"Workshop on Measurements, Attacks, and Defenses for the Web",https://madweb.work/,MADWeb,,"San Diego, California, USA",SEC | PRIV | SHOP,,2026
Co-located with NDSS Symposium,February 23,,2025-12-10 23:59,Workshop on Security and Privacy in Standardized IoT,https://sdiotsec.github.io/,SDIoTSec,,"San Diego, California, USA",SEC | PRIV | SHOP,,2026
Co-located with NDSS Symposium,February 23,,2025-12-22 23:59,Workshop on SOC Operations and Construction,https://www.ndss-symposium.org/ndss2026/submissions/cfp-wosoc/,WOSOC,,"San Diego, California, USA",SEC | SHOP,,2026
Co-located with NDSS Symposium,February 27,,2025-12-10 23:59,Workshop on LLM Assisted Security and Trust Exploration,https://www.ndss-symposium.org/ndss2026/submissions/cfp-last-x/,LAST-X,,"San Diego, California, USA",SEC | SHOP,,2026
Co-located with NDSS Symposium,February 27,,2025-12-05 23:59,Symposium on Usable Security and Privacy,https://www.ndss-symposium.org/ndss2026/submissions/cfp-usec/,USEC,,"San Diego, California, USA",SEC | PRIV | CONF,,2026
Co-located with NDSS Symposium,February 23,,2025-12-15 23:59,"Workshop on Attack Provenance, Reasoning, and Investigation for Security in the Monitored Environment",https://www.ndss-symposium.org/ndss2026/submissions/cfp-prism/,PRISM,,"San Diego, California, USA",SEC | PRIV | SHOP,,2026
Co-located with USENIX Security; up-and-coming track deadline is Mar 3 (cycle-2),August 10–11,,2025-12-12 23:59 | 2026-03-03 23:59,USENIX WOOT Conference on Offensive Technologies,https://www.usenix.org/conference/woot26/call-for-papers,WOOT,,"Baltimore, MD, USA",SEC | PRIV | CRYPTO | CONF,,2026
Co-located with IEEE S&P 2025,May 15,,2025-02-17 23:59,IEEE/ACM Workshop on the Internet of Safe Things,https://safethings25.ieee-security.org/,SafeThings,,"San Francisco, CA, USA",SEC | PRIV | SHOP,,2025
Co-located with ACM International Conference on Computing Frontiers 2026,May 19,,2026-02-13 23:59,Malicious Software and Hardware in Internet of Things,https://security.ucc.ie/mal-iot2026/,MALIoT,,"Catania, Italy",SEC | PRIV | CRYPTO | SHOP,,2026
,July 4,,2025-03-02 23:59,DevSecOps Research and Opportunities,https://spritz.math.unipd.it/events/2025/devSecOpsRO/,DevSecOpsRO,,"Venice, Italy",SEC | SHOP,,2025
Co-located with NDSS 2026,February 27,,2025-12-11 23:59,International Fuzzing Workshop,https://fuzzing-workshop.github.io/,FUZZING,,"San Diego, CA, USA",SEC | SHOP,,2026
Co-located with ESORICS 2024,September 16-20,,2024-06-29 23:59,Workshop on Security and Artificial Intelligance,https://sites.google.com/view/secai2024,SECAI,,"Bydgoszcz, Poland",SEC | PRIV | SHOP,,2024
Co-located with ACM CCS '24,October 18,,2024-07-18 23:59,Workshop on Attacks and Solutions in Hardware Security,http://ashesworkshop.org/home,ASHES,,"Salt Lake City, Utah, United States",SEC | SHOP,,2024
Co-located with ACM CCS '24,October 18,,2024-07-05 23:59,ACM Workshop on Software Supply Chain Offensive Research and Ecosystem Defenses,https://scored.dev/,SCORED,,"Salt Lake City, Utah, United States",SEC | SHOP,,2024
Co-located with ESORICS 2025,September 25,,2025-06-30 23:59,Data Privacy Management International Workshop,https://deic.uab.cat/dpm/dpm2025/,DPM,,"Toulouse, France",SEC | PRIV | SHOP,,2025
Co-located with ESORICS 2025,September 25,,2025-06-30 23:59,International Workshop on Cryptocurrencies and Blockchain Technology,http://cbtworkshop.org/,CBT,,"Toulouse, France",SEC | CRYPTO | SHOP,,2025
Co-located with IEEE BigData 2024,December 15-18,,2024-10-01 23:59,Workshop on Cyber Threat Intelligence and Hunting,https://cyberhunt2024.cyberhunt.no/,CyberHunt,,"Washington DC, USA",SEC | SHOP,,2024
,December 16-20,,2026-07-10 23:59,International Conference on Information Systems Security,https://iciss.in/cfp/,ICISS,,"CMI Chennai, India",SEC | PRIV | CONF,,2026
Co-located with ACM AsiaCCS,June 2,,2026-01-31 23:59,ACM Cyber-Physical System Security Workshop,https://cpss26.github.io/,CPSS,,"Bangalore, India",SEC | PRIV | SHOP,,2026
Co-located with ACM AsiaCCS,June 2,,2026-02-13 23:59,International Workshop on Secure and Efficient Federated Learning,https://federated-learning.org/fl-asiaccs-2026/,FL,,"Bangalore, India",SEC | PRIV | SHOP,,2026
,June 30,,2025-02-20 23:59,Workshop on Attackers and Cyber-Crime Operations,https://wacco-workshop.org/,WACCO,,"Venezia, Italy",SEC | PRIV,,2025
,November 24-26,,2026-06-08 23:59,International Workshop on Security,https://www.iwsec.org/2026/index.html,IWSEC,,"Tokyo, JP",SEC | PRIV | CRYPTO | SHOP,,2026
Co-located with ACSAC,December 8,,2025-09-17 23:59,Cyber Security Experimentation and Test Workshop,https://cset25.isi.edu/,CSET,,"Honolulu, Hawaii, USA",SEC | SHOP,,2025
Co-located with IEEE ISCC 2026,June 23-26,,2026-03-31 23:59,Workshop on Quantum-Secure Networks and Systems,https://qubip.eu/qsns2026/,QSNS,,"Vilamoura, Algarve, Portugal",SEC | PRIV | CRYPTO | SHOP,,2026
Co-located with ACM CCS 2025,October 17,,2025-07-08 23:59,Research on offensive and defensive techniques in the context of Man At The End (MATE) attacks,https://checkmate-workshop.github.io/,CheckMATE,,"Taipei, Taiwan",SEC | PRIV | CRYPTO | SHOP,,2025
Co-located with ACM CCS 2025,October 17,,2025-06-29 23:59,Cyber Security in Cars Workshop,https://acm-cscs.org,CSCS,,"Taipei, Taiwan",SEC | PRIV | SHOP,,2025
,November 5–6,,2026-05-01 23:59 | 2026-07-16 23:59,EAI International Conference on Security and Privacy in Cyber-Physical Systems and Smart Vehicles,https://smartsp.eai-conferences.org/,SmartSP,,"Detroit, MI, USA",SEC | PRIV | CONF,,2026
Co-located with ACM CCS 2025,October 17,,2025-06-24 23:59,The ACM Cloud Computing Security Workshop,https://ccsw.io/,CCSW,,"Taipei, Taiwan, China",SEC | PRIV | CRYPTO | SHOP,,2025
Initial submission with abstract required Oct 31st.,April 14-16,,2025-11-07 23:59,International Conference on Post-Quantum Cryptography,https://pqcrypto2026.irisa.fr/,PQCrypto,,"Saint-Malo, France",CRYPTO | CONF,,2026
Co-located with ACSAC 2025,December 8,,2025-10-06 23:59,Workshop on AI for Cyber Threat Intelligence,https://waiti-workshop.github.io/,WAITI,,"Waikiki, Hawaii, USA",SEC | PRIV | SHOP,,2025
Co-located with CIFRIS. Paper registration due Jul 25 AoE,September 27,,2024-07-29 23:59,Topics in Applied Cryptography,https://aleph.fbk.eu/events/TAC2024/,TAC,,"Rome, Italy",SEC | CRYPTO | SHOP,,2024
Co-located with NDSS Symposium,February 23,,2026-01-06 23:59,Workshop on Security and Privacy of Next-Generation Networks,https://www.ndss-symposium.org/ndss2026/submissions/cfp-futureg/,FutureG,,"San Diego, California, USA",SEC | PRIV | SHOP,,2026
